"icao","elevation_ft","heading_deg","frequency_mhz","range_nm","ident","runway"
"KBTM","5510","154.9018","110.9","27","IBEY","ILS RW15"
"KBZN","4428","122.86393","109.3","27","IBZN","ILS RW12"
"KWYS","6645","12","110.7","27","ILOW","ILS RW01"
"KJAC","6441","186.49944","109.1","27","IJAC","ILS RW19"
"KIDA","4734","205.92519","111.1","27","IIDA","ILS RW21"
"KLGU","4448","171.70885","109.15","27","ILGU","ILS RW17"
"KHIF","4782","139","109.9","27","IHIF","ILS RW14"
"KOGD","4454","33.787567","111.7","27","IOGD","ILS RW03"
"KSLC","4223","343.98056","111.9","27","IUUH","ILS RW34L"
"KSLC","4217","343.98447","109.5","27","ISLC","ILS RW34R"
"KSLC","4220","344","111.5","27","IUTJ","ILS RW35"
"KSLC","4222","163.98447","109.5","27","IMOY","ILS RW16L"
"KSLC","4216","163.98056","111.9","27","IUAT","ILS RW16R"
"KSLC","4221","168.98566","111.5","27","IBNT","ILS RW17"
"KEVW","7126","233.7193","108.9","27","IEVW","ILS RW23"
"KRKS","6759","270.23944","109.3","27","IRKS","ILS RW27"
"KPVU","4492","133.9923","110.3","27","IPVU","ILS RW13"
"KTVY","4275","166.1288","111.15","27","ITVY","ILS RW17"
"KPUC","5823","7.280971","109.35","27","IPUC","ILS RW01"
"KGCN","6534","29.518707","108.9","27","IGCN","ILS RW03"
"KGUP","6472","62","111.7","27","IGUP","ILS RW06"
"KFLG","6999","214.2","110.5","27","IFLG","ILS RW21"
"KPRC","4960","208.14322","108.5","27","IPRC","ILS RW21L"
"KIWA","1377","302.7011","110.15","27","IIWA","ILS RW30C"
"KLUF","1083","210","110.9","27","IEMJ","ILS RW21L"
"KLUF","1069","30","108.7","27","ILUF","ILS RW03R"
"KPHX","1106","78.05703","111.5","27","IPHX","ILS RW07L"
"KPHX","1108","78.05275","110.75","27","IAHA","ILS RW07R"
"KPHX","1112","78.073166","111.75","27","ISYQ","ILS RW08"
"KPHX","1120","258.05273","110.75","27","IRJG","ILS RW25L"
"KPHX","1129","258.07315","111.75","27","ICWJ","ILS RW26"
"KCGZ","1451","47.7453","111.15","27","ICGZ","ILS RW05"
"KDMA","2594","125","109.3","27","IAFB","ILS RW12"
"KDMA","2691","305","109.3","27","IDMA","ILS RW30"
"KRYN","2398","58","111.1","27","IIVI","ILS RW06R"
"KTUS","2580","123.16768","111.7","27","ITUS","ILS RW11L"
"KFHU","4606","259.87256","109.9","27","IFHU","ILS RW26"
"MMLP","69","177.55743","110.5","27","ILAP","ILS RW18"
"SCIP","141","102.14217","110.3","27","IIPA","ILS RW10"
"CYPA","1405","80.16968","110.3","27","IPA","ILS RW08"
"CYXE","1656","90.04931","109.9","27","IST","ILS RW09"
"CYMJ","1882","109.62365","109.3","27","IBP","ILS RW11L"
"CYMJ","1880","289.62366","109.3","27","IMJ","ILS RW29R"
"KBIL","3572","101.77813","111.5","27","IBIL","ILS RW10L"
"KBIL","3488","281.77814","111.5","27","IBMO","ILS RW28R"
"KSHR","3974","326.3866","108.7","27","ISHR","ILS RW33"
"KGCC","4352","340.6449","110.1","27","ILLT","ILS RW34"
"KRIW","5449","284.37015","110.5","27","IRIW","ILS RW28"
"KCPR","5321","31.681078","111.3","27","ISYD","ILS RW03"
"KHDN","6583","103.79328","109.9","27","IHDN","ILS RW10"
"KEGE","6529","250","109.75","27","IESJ","ILS RW25"
"KEGE","6547","250","108.3","27","IVAZ","ILS RW25"
"KRIL","5522","258.4225","110.9","27","IRIL","ILS RW26"
"KFNL","5007","331.51","109.5","27","IFNL","ILS RW33"
"KBJC","5588","295.40897","111.7","27","IBJC","ILS RW30R"
"KGJT","4820","112.28802","110.3","27","IGJT","ILS RW11"
"KGJT","4861","312.2","109.7","27","IACD","ILS RW29"
"KMTJ","5693","167.8088","111.3","27","IMTJ","ILS RW17"
"KGUC","7659","61.47041","110.5","27","IGUC","ILS RW06"
"KASE","7838","151","111.15","27","IASE","ILS RW15"
"KASE","7838","303","108.5","27","IPKN","ILS RW33"
"KTEX","9070","92.9","109.3","27","ITEX","ILS RW09"
"KFMN","5505","256.2998","111.9","27","IFMN","ILS RW25"
"KDRO","6621","27.229212","109.1","27","IDRO","ILS RW03"
"KALS","7536","22.651175","111.9","27","IVQR","ILS RW02"
"KSAF","6287","26.982002","111.7","27","ISGB","ILS RW02"
"KABQ","5304","33.658203","111.5","27","IBZY","ILS RW03"
"KABQ","5312","79.45711","111.9","27","ISPT","ILS RW08"
"KAEG","5806","215.03423","110.1","27","IAEG","ILS RW22"
"KSVC","5446","258.1914","111.7","27","ISVC","ILS RW26"
"KSRR","6751","241.3698","110.7","27","ISRR","ILS RW24"
"KHMN","4078","218","111.7","27","IHMN","ILS RW22"
"KHMN","4078","158","108.9","27","IMUK","ILS RW16"
"KLRU","4434","307.15103","109.3","27","ILRU","ILS RW30"
"KELP","3962","41.86335","111.5","27","IETF","ILS RW04"
"KELP","3940","221.86334","111.5","27","IELP","ILS RW22"
"MMCU","4465","2.8095026","111.9","27","ICUU","ILS RW36R"
"MMMZ","33","265.9721","111.7","27","IMZT","ILS RW27"
"CYQR","1889","128.04204","109.5","27","IQR","ILS RW13"
"KXWA","2337","319.76297","109.1","27","IXWA","ILS RW32"
"KMIB","1634","298","109.9","27","IMIB","ILS RW30"
"KMIB","1659","118","109.9","27","IMJW","ILS RW12"
"KMOT","1658","312.46478","111.9","27","IMOT","ILS RW31"
"KRAP","3144","323.92117","109.3","27","IRAP","ILS RW32"
"KRCA","3179","310","110.3","27","IRCA","ILS RW31"
"KRCA","3252","130","111.5","27","IELR","ILS RW13"
"KCDR","3286","27.99034","110.9","27","ICDR","ILS RW03"
"KBFF","3954","125.70809","110.35","27","IRMT","ILS RW12"
"KBFF","3944","305.7081","109.3","27","IBFF","ILS RW30"
"KCYS","6101","265.3288","110.1","27","ICYS","ILS RW27"
"KAIA","3925","307.41306","108.35","27","IBYE","ILS RW30"
"KGXY","4653","349.8069","110.3","27","IDCI","ILS RW35"
"KAPA","5871","349.96204","111.3","27","IAPA","ILS RW35R"
"KBKF","5650","323","109.7","27","IBKF","ILS RW32"
"KDEN","5341","82.50029","111.55","27","IDZG","ILS RW07"
"KDEN","5342","82.528885","108.9","27","IFUI","ILS RW08"
"KDEN","5347","172.50186","111.1","27","ILTT","ILS RW16L"
"KDEN","5317","172.49197","111.9","27","IDQQ","ILS RW16R"
"KDEN","5326","172.56085","110.15","27","IBXP","ILS RW17L"
"KDEN","5378","172.54637","108.5","27","IACX","ILS RW17R"
"KDEN","5344","262.5003","111.55","27","IERP","ILS RW25"
"KDEN","5293","262.52887","108.9","27","IJOY","ILS RW26"
"KDEN","5318","352.49197","111.9","27","IDXU","ILS RW34L"
"KDEN","5346","352.50186","111.1","27","IOUF","ILS RW34R"
"KDEN","5423","352.5464","108.5","27","IAQD","ILS RW35L"
"KDEN","5360","352.56085","110.15","27","IDPP","ILS RW35R"
"KCFO","5478","171.96925","110.9","27","IFZR","ILS RW17"
"KCFO","5481","263.13898","109.3","27","IFTG","ILS RW26"
"KCFO","5506","351.96927","110.9","27","IVWT","ILS RW35"
"KCOS","6177","172.08434","109.1","27","ILPI","ILS RW17L"
"KCOS","6048","352.04858","109.9","27","ICOS","ILS RW35L"
"KCOS","6103","352.08435","109.1","27","IAHI","ILS RW35R"
"KPUB","4673","80.28718","109.5","27","IPUB","ILS RW08R"
"KPUB","4650","260.28717","108.3","27","ITFR","ILS RW26L"
"KITR","4218","334.03137","111.9","27","IOBG","ILS RW33"
"KGLD","3643","305.50967","108.9","27","IGLD","ILS RW30"
"KAMA","3599","37.84521","110.3","27","IAMA","ILS RW04"
"KAMA","3601","214","111.1","27","IRIQ","ILS RW22"
"KCVS","4267","308","108.3","27","IBNN","ILS RW31"
"KCVS","4286","218","109.7","27","ICVS","ILS RW22"
"KCVS","4272","38","108.5","27","IGLO","ILS RW04"
"KCVS","4287","128","110.35","27","IOVI","ILS RW13"
"KCVN","4190","36.5621","108.9","27","ICVN","ILS RW04"
"KROW","3626","214.98245","109.9","27","IROW","ILS RW21"
"KHOB","3647","37.827293","108.5","27","IHOB","ILS RW03"
"KLBB","3277","173.68086","111.7","27","ILBB","ILS RW17R"
"KLBB","3254","263.64908","111.9","27","ILDT","ILS RW26"
"KCNM","3284","33.978912","111.9","27","ICVD","ILS RW03"
"KMAF","2865","104.72982","110.3","27","IMAF","ILS RW10"
"MMGL","5010","108.16505","110.1","27","IAIG","ILS RW11"
"MMGL","5010","288.16504","111.3","27","IGDL","ILS RW29"
"CYTH","741","57.863438","110.3","27","ITH","ILS RW06"
"CYBR","1343","84.26747","110.1","27","IBR","ILS RW08"
"CYPG","884","310.1307","109.7","27","IPG","ILS RW31L"
"KDVL","1436","311.16507","108.7","27","IVKE","ILS RW31"
"KBIS","1651","130.70264","111.5","27","IBZX","ILS RW13"
"KBIS","1642","310.70264","110.3","27","IBIS","ILS RW31"
"KJMS","1493","310.87936","109.3","27","IJMS","ILS RW31"
"KABR","1296","308.1648","109.9","27","IABR","ILS RW31"
"KPIR","1714","312.74652","111.9","27","IPIR","ILS RW31"
"KHON","1283","121.16205","110.3","27","IHON","ILS RW12"
"KMHE","1303","310.5437","109.7","27","ILPA","ILS RW31"
"KLBF","2764","300.0896","111.5","27","ILBF","ILS RW30"
"KGRI","1842","353.337","111.9","27","IGRI","ILS RW35"
"KMCK","2574","123.51421","110.95","27","IMCK","ILS RW12"
"KEAR","2127","2.3857336","110.9","27","IEAR","ILS RW36"
"KHYS","1983","339.41672","111.5","27","IHYS","ILS RW34"
"KSLN","1264","352.8902","108.9","27","ISLN","ILS RW35"
"KGBD","1883","351.59082","111.9","27","IGBD","ILS RW35"
"KHUT","1525","134.32437","110.1","27","IHUT","ILS RW13"
"KGCK","2878","351.41125","109.9","27","IGCK","ILS RW35"
"KDDC","2578","146","111.7","27","IDDC","ILS RW14"
"KLBL","2871","353.90292","111.3","27","ILBL","ILS RW35"
"KEND","1286","351","110.1","27","IEND","ILS RW35C"
"KEND","1270","172","108.9","27","ILVC","ILS RW17C"
"KWDG","1136","355.01526","108.3","27","IEIU","ILS RW35"
"KCSM","1919","175.06964","109.5","27","IBZF","ILS RW17R"
"KOKC","1279","175.8823","110.9","27","IEXR","ILS RW17L"
"KOKC","1277","175.95682","110.7","27","IOKC","ILS RW17R"
"KOKC","1263","355.95682","110.7","27","ILIK","ILS RW35L"
"KOKC","1281","355.8823","110.9","27","IRGR","ILS RW35R"
"KPWA","1279","174.99911","110.15","27","IPWA","ILS RW17L"
"KPWA","1289","354.9991","110.15","27","ITFM","ILS RW35R"
"KLTS","1371","175","111.3","27","IALT","ILS RW18R"
"KLTS","1345","355","110.55","27","IFNM","ILS RW36R"
